manga series,author(s),publisher,demographic,no. of collected volumes,serialized,approximate sales in million(s),average sales per volume in million(s)
One Piece,Eiichiro Oda,Shueisha,Shōnen,104,1997-present,516.6,4.97
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984-1995,260,6.19
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999-2014,250,3.47
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990-1996,170,5.48
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976-2016,156.5,0.78
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016-2020,150,6.52
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001-2016,130,1.75
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983-1988,100,3.7
My Hero Academia,Kōhei Horikoshi,Shueisha,Shōnen,37,2014-present,85,2.29
Hunter × Hunter,Yoshihiro Togashi,Shueisha,Shōnen,37,1998-present (on hiatus),84,2.33
YuYu Hakusho,Yoshihiro Togashi,Shueisha,Shōnen,19,1990-1994,78,4.1
Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,Shōnen,28,1994-1999,72,2.57
Jujutsu Kaisen,Gege Akutami,Shueisha,Shōnen,22,2018-present,70,3.18
The Prince of Tennis,Takeshi Konomi,Shueisha,Shōnen,42,1999-2008,60,1.42
Rokudenashi Blues,Masanori Morita,Shueisha,Shōnen,42,1988-1997,60,1.42
Gintama,Hideaki Sorachi,Shueisha,Shōnen,77,2003-2019,55.5,0.72
Haikyu!!,Haruichi Furudate,Shueisha,Shōnen,45,2012-2020,55,1.22
City Hunter,Tsukasa Hojo,Shueisha,Shōnen,35,1985-1991,50,1.42
Cobra,Buichi Terasawa,Shueisha,Shōnen,18,1978-1984,50,2.77
Dragon Quest: The Adventure of Dai,"Riku Sanjo, Koji Inada",Shueisha,Shōnen,37,1989-1996,50,1.35
Saint Seiya,Masami Kurumada,Shueisha,Shōnen,28,1986-1990,50,1.78
The Promised Neverland,"Kaiu Shirai, Posuka Demizu",Shueisha,Shōnen,20,2016-2020,41,2.05
Yu-Gi-Oh!,Kazuki Takahashi,Shueisha,Shōnen,38,1996-2004,40,1.05
Dr. Slump,Akira Toriyama,Shueisha,Shōnen,18,1980-1984,35,1.94
Kuroko's Basketball,Tadatoshi Fujimaki,Shueisha,Shōnen,30,2008-2014,31,1.03
Death Note,"Tsugumi Ohba, Takeshi Obata",Shueisha,Shōnen,12,2003-2006,30,2.5
Reborn!,Akira Amano,Shueisha,Shōnen,42,2004-2012,30,0.71
Spy × Family,Tatsuya Endo,Shueisha,Shōnen,11,2019-present,30,2.73
Sakigake!! Otokojuku,Akira Miyashita,Shueisha,Shōnen,34,1985-1991,27,0.79
Assassination Classroom,Yūsei Matsui,Shueisha,Shōnen,21,2012-2016,25,1.19
Blue Exorcist,Kazue Kato,Shueisha,Shōnen,28,2009-present,25,0.89
D.Gray-man,Katsura Hoshino,Shueisha,Shōnen,28,2004-present,25,0.89
Hikaru no Go,"Yumi Hotta, Takeshi Obata",Shueisha,Shōnen,23,1998-2003,25,1.08
Jigoku Sensei Nūbē,"Shō Makura, Takeshi Okano",Shueisha,Shōnen,31,1993-1999,25,0.81
Toriko,Mitsutoshi Shimabukuro,Shueisha,Shōnen,43,2008-2016,25,0.58
Chainsaw Man,Tatsuki Fujimoto,Shueisha,Shōnen,14,2018-present,24,1.71
Hoshin Engi,Ryu Fujisaki,Shueisha,Shōnen,23,1996-2000,22,0.95
Rookies,Masanori Morita,Shueisha,Shōnen,24,1998-2003,21,0.87
Cat's Eye,Tsukasa Hojo,Shueisha,Shōnen,18,1981-1984,20,1.11
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,Shōnen,37,2002-2009,20,0.54
Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",Shueisha,Shōnen,36,2012-2019,20,0.55
Kimagure Orange Road,Izumi Matsumoto,Shueisha,Shōnen,18,1984-1987,20,1.11
